X,Y,,,,,,value
9,52,,,,,,Pass
8,52,,,,,,Pass
6,52,,,,,,Pass
5,52,,,,,,Pass
4,52,,,,,,Pass
3,52,,,,,,Pass
2,52,,,,,,Pass
1,52,,,,,,Pass
-2,51,,,,,,Pass
-1,51,,,,,,Pass
0,51,,,,,,Pass
1,51,,,,,,Pass
2,51,,,,,,Pass
4,51,,,,,,Pass
5,51,,,,,,Pass
6,51,,,,,,Pass
7,51,,,,,,Pass
8,51,,,,,,Pass
9,51,,,,,,Pass
10,51,,,,,,Pass
11,51,,,,,,Pass
12,51,,,,,,Pass
13,51,,,,,,Pass
14,51,,,,,,Pass
16,50,,,,,,Pass
15,50,,,,,,Pass
14,50,,,,,,Pass
13,50,,,,,,Pass
12,50,,,,,,Pass
9,50,,,,,,Pass
8,50,,,,,,Pass
7,50,,,,,,Pass
6,50,,,,,,Pass
5,50,,,,,,Pass
4,50,,,,,,Pass
3,50,,,,,,Pass
2,50,,,,,,Pass
1,50,,,,,,Pass
0,50,,,,,,Pass
-1,50,,,,,,Pass
-2,50,,,,,,Pass
-3,50,,,,,,Pass
-4,50,,,,,,Pass
-5,49,,,,,,Pass
-4,49,,,,,,Pass
-3,49,,,,,,Pass
-1,49,,,,,,Pass
0,49,,,,,,Pass
1,49,,,,,,Pass
2,49,,,,,,Pass
3,49,,,,,,Pass
4,49,,,,,,Pass
5,49,,,,,,Pass
6,49,,,,,,Pass
7,49,,,,,,Pass
8,49,,,,,,Pass
9,49,,,,,,Pass
10,49,,,,,,Pass
11,49,,,,,,Pass
12,49,,,,,,Pass
13,49,,,,,,Pass
14,49,,,,,,Pass
15,49,,,,,,Pass
16,49,,,,,,Pass
17,49,,,,,,Pass
18,49,,,,,,Pass
20,48,,,,,,Pass
19,48,,,,,,Pass
18,48,,,,,,Pass
17,48,,,,,,Pass
16,48,,,,,,Pass
15,48,,,,,,Pass
14,48,,,,,,Pass
13,48,,,,,,Pass
12,48,,,,,,Pass
11,48,,,,,,Pass
10,48,,,,,,Pass
9,48,,,,,,Pass
8,48,,,,,,Pass
7,48,,,,,,Pass
6,48,,,,,,Pass
5,48,,,,,,Pass
4,48,,,,,,Pass
3,48,,,,,,Pass
2,48,,,,,,Pass
1,48,,,,,,Pass
0,48,,,,,,Pass
-2,48,,,,,,Pass
-4,48,,,,,,Pass
-5,48,,,,,,Pass
-7,48,,,,,,Pass
-8,48,,,,,,Pass
-9,47,,,,,,Pass
-8,47,,,,,,Pass
-7,47,,,,,,Pass
-6,47,,,,,,Pass
-5,47,,,,,,Pass
-4,47,,,,,,Pass
-3,47,,,,,,Pass
-2,47,,,,,,Pass
-1,47,,,,,,Pass
0,47,,,,,,Pass
1,47,,,,,,Pass
2,47,,,,,,Pass
3,47,,,,,,Pass
4,47,,,,,,Pass
5,47,,,,,,Pass
6,47,,,,,,Pass
7,47,,,,,,Pass
8,47,,,,,,Pass
9,47,,,,,,Pass
10,47,,,,,,Pass
11,47,,,,,,Pass
12,47,,,,,,Pass
13,47,,,,,,Pass
14,47,,,,,,Pass
15,47,,,,,,Pass
16,47,,,,,,Pass
17,47,,,,,,Pass
18,47,,,,,,Pass
19,47,,,,,,Pass
20,47,,,,,,Pass
21,47,,,,,,Pass
23,46,,,,,,Pass
22,46,,,,,,Pass
21,46,,,,,,Pass
20,46,,,,,,Pass
19,46,,,,,,Pass
18,46,,,,,,Pass
17,46,,,,,,Pass
16,46,,,,,,Pass
15,46,,,,,,Pass
14,46,,,,,,Pass
13,46,,,,,,Pass
12,46,,,,,,Pass
11,46,,,,,,Pass
10,46,,,,,,Pass
9,46,,,,,,Pass
8,46,,,,,,Pass
7,46,,,,,,Pass
