Lot_ID,Wafer_ID,Probe_Count,Unit_Number,X,Y,Head Number,Site Number,Die Pass/Fail,Hard Bin No,Hard Bin Name,HardBinPassFail,Soft Bin No,Soft Bin Name,Soft Bin Pass/Fail,Tests Executed,Test Time (ms),[200][continuity_load:continuity_load@ANT_CNTL0_O[1]] [mV] [N/A][N/A][-900][-100]
N1PG81,8,M,4,5,53,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1486,-399.818
N1PG81,8,M,5,6,53,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1475,-400.515
N1PG81,8,M,10,12,52,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1486,-400.283
N1PG81,8,M,11,11,52,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1487,-400.515
N1PG81,8,M,12,10,52,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1487,-400.98
N1PG81,8,M,13,9,52,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-401.522
N1PG81,8,M,14,8,52,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1484,-401.367
N1PG81,8,M,15,7,52,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1483,-403.691
N1PG81,8,M,16,6,52,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-402.219
N1PG81,8,M,17,5,52,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-401.057
N1PG81,8,M,18,4,52,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1489,-400.593
N1PG81,8,M,19,3,52,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1488,-401.522
N1PG81,8,M,20,2,52,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1485,-400.593
N1PG81,8,M,21,1,52,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1484,-400.593
N1PG81,8,M,22,0,52,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1487,-398.734
N1PG81,8,M,26,-3,51,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1483,-397.108
N1PG81,8,M,27,-2,51,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1486,-398.037
N1PG81,8,M,28,-1,51,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1486,-400.128
N1PG81,8,M,29,0,51,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1485,-400.36
N1PG81,8,M,30,1,51,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1486,-401.367
N1PG81,8,M,31,2,51,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1486,-401.135
N1PG81,8,M,32,3,51,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1487,-400.98
N1PG81,8,M,33,4,51,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1486,-400.205
N1PG81,8,M,35,6,51,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-402.296
N1PG81,8,M,37,8,51,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1483,-401.599
N1PG81,8,M,38,9,51,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1486,-400.825
N1PG81,8,M,41,12,51,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1483,-400.98
N1PG81,8,M,42,13,51,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1475,-401.212
N1PG81,8,M,43,14,51,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1464,-399.508
N1PG81,8,M,44,15,51,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1465,-398.425
N1PG81,8,M,46,16,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1470,-400.205
N1PG81,8,M,47,15,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1469,-400.438
N1PG81,8,M,48,14,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1465,-400.438
N1PG81,8,M,49,13,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1460,-401.212
N1PG81,8,M,50,12,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1462,-400.825
N1PG81,8,M,52,10,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1470,-400.593
N1PG81,8,M,53,9,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1462,-399.741
N1PG81,8,M,54,8,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1465,-400.05
N1PG81,8,M,55,7,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1469,-400.825
N1PG81,8,M,56,6,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1463,-401.444
N1PG81,8,M,57,5,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1464,-400.283
N1PG81,8,M,58,4,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1468,-398.966
N1PG81,8,M,59,3,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1464,-399.354
N1PG81,8,M,60,2,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1465,-399.586
N1PG81,8,M,61,1,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1468,-400.128
N1PG81,8,M,62,0,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1460,-400.205
N1PG81,8,M,63,-1,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1468,-400.05
N1PG81,8,M,65,-3,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1459,-400.205
N1PG81,8,M,66,-4,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1462,-399.741
N1PG81,8,M,67,-5,50,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1466,-397.108
N1PG81,8,M,70,-7,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1467,-396.953
N1PG81,8,M,71,-6,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1463,-398.425
N1PG81,8,M,72,-5,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1461,-400.05
N1PG81,8,M,73,-4,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1458,-399.896
N1PG81,8,M,74,-3,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1459,-400.205
N1PG81,8,M,75,-2,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1465,-399.354
N1PG81,8,M,76,-1,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1467,-399.509
N1PG81,8,M,77,0,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1459,-399.276
N1PG81,8,M,78,1,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1468,-399.431
N1PG81,8,M,79,2,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1466,-399.431
N1PG81,8,M,80,3,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1462,-398.347
N1PG81,8,M,81,4,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1468,-398.037
N1PG81,8,M,82,5,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1462,-399.199
N1PG81,8,M,83,6,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1461,-399.896
N1PG81,8,M,84,7,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1463,-399.509
N1PG81,8,M,85,8,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1466,-399.664
N1PG81,8,M,86,9,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1462,-399.354
N1PG81,8,M,87,10,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1463,-399.818
N1PG81,8,M,88,11,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1466,-399.509
N1PG81,8,M,89,12,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1461,-399.896
N1PG81,8,M,91,14,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1467,-400.593
N1PG81,8,M,92,15,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1464,-400.283
N1PG81,8,M,93,16,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1464,-400.05
N1PG81,8,M,94,17,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1460,-400.748
N1PG81,8,M,95,18,49,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1465,-401.444
N1PG81,8,M,97,20,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1461,-399.895
N1PG81,8,M,98,19,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1460,-400.515
N1PG81,8,M,99,18,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1464,-401.444
N1PG81,8,M,100,17,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1462,-400.67
N1PG81,8,M,101,16,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1466,-399.509
N1PG81,8,M,102,15,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1462,-399.664
N1PG81,8,M,104,13,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1474,-399.509
N1PG81,8,M,105,12,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1478,-399.586
N1PG81,8,M,106,11,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1476,-398.424
N1PG81,8,M,107,10,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-398.502
N1PG81,8,M,108,9,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1478,-398.192
N1PG81,8,M,109,8,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-398.811
N1PG81,8,M,110,7,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1478,-399.431
N1PG81,8,M,111,6,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1477,-399.354
N1PG81,8,M,112,5,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-398.579
N1PG81,8,M,113,4,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-397.495
N1PG81,8,M,114,3,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-398.734
N1PG81,8,M,115,2,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1476,-398.889
N1PG81,8,M,116,1,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-399.276
N1PG81,8,M,117,0,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-398.811
N1PG81,8,M,118,-1,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-398.889
N1PG81,8,M,119,-2,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-398.657
N1PG81,8,M,120,-3,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1476,-398.734
N1PG81,8,M,121,-4,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-399.664
N1PG81,8,M,122,-5,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-400.438
N1PG81,8,M,123,-6,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-400.05
N1PG81,8,M,124,-7,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1476,-398.889
N1PG81,8,M,125,-8,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-398.579
N1PG81,8,M,126,-9,48,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-396.023
N1PG81,8,M,127,-10,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1477,-396.178
N1PG81,8,M,128,-9,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-398.192
N1PG81,8,M,129,-8,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1478,-399.663
N1PG81,8,M,130,-7,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-398.579
N1PG81,8,M,131,-6,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1482,-399.818
N1PG81,8,M,132,-5,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1482,-398.192
N1PG81,8,M,133,-4,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1483,-398.425
N1PG81,8,M,134,-3,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1482,-398.192
N1PG81,8,M,135,-2,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1483,-398.966
N1PG81,8,M,136,-1,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-398.424
N1PG81,8,M,137,0,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-398.347
N1PG81,8,M,140,3,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1478,-397.34
N1PG81,8,M,141,4,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-398.037
N1PG81,8,M,142,5,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-397.572
N1PG81,8,M,144,7,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1475,-399.508
N1PG81,8,M,145,8,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-399.199
N1PG81,8,M,146,9,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-397.34
N1PG81,8,M,147,10,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-397.96
N1PG81,8,M,148,11,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1478,-399.044
N1PG81,8,M,149,12,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-398.889
N1PG81,8,M,150,13,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1477,-399.509
N1PG81,8,M,151,14,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1477,-398.192
N1PG81,8,M,152,15,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-398.424
N1PG81,8,M,153,16,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-398.811
N1PG81,8,M,154,17,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-399.663
N1PG81,8,M,155,18,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-399.431
N1PG81,8,M,156,19,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-399.276
N1PG81,8,M,157,20,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1482,-399.431
N1PG81,8,M,158,21,47,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-399.276
N1PG81,8,M,161,22,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1473,-399.431
N1PG81,8,M,162,21,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-399.896
N1PG81,8,M,163,20,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1478,-399.586
N1PG81,8,M,164,19,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-398.424
N1PG81,8,M,165,18,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-398.115
N1PG81,8,M,166,17,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-398.579
N1PG81,8,M,167,16,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1478,-398.502
N1PG81,8,M,168,15,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-398.27
N1PG81,8,M,169,14,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-397.727
N1PG81,8,M,170,13,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-397.727
N1PG81,8,M,171,12,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-399.431
N1PG81,8,M,172,11,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-400.205
N1PG81,8,M,173,10,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-398.347
N1PG81,8,M,174,9,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1477,-398.192
N1PG81,8,M,175,8,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1484,-398.889
N1PG81,8,M,177,6,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1474,-398.27
N1PG81,8,M,178,5,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-398.192
N1PG81,8,M,179,4,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-397.805
N1PG81,8,M,180,3,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-397.882
N1PG81,8,M,181,2,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1477,-398.425
N1PG81,8,M,183,0,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1476,-397.882
N1PG81,8,M,184,-1,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-399.276
N1PG81,8,M,185,-2,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-398.115
N1PG81,8,M,186,-3,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-398.889
N1PG81,8,M,187,-4,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-398.966
N1PG81,8,M,188,-5,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-397.805
N1PG81,8,M,189,-6,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-398.811
N1PG81,8,M,190,-7,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-398.657
N1PG81,8,M,192,-9,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-398.966
N1PG81,8,M,193,-10,46,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-398.889
N1PG81,8,M,195,-12,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-396.875
N1PG81,8,M,197,-10,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-398.269
N1PG81,8,M,198,-9,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-399.276
N1PG81,8,M,200,-7,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1477,-397.882
N1PG81,8,M,201,-6,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-398.037
N1PG81,8,M,202,-5,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-398.889
N1PG81,8,M,203,-4,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1482,-398.192
N1PG81,8,M,204,-3,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-397.96
N1PG81,8,M,205,-2,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-398.115
N1PG81,8,M,206,-1,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-399.276
N1PG81,8,M,207,0,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1477,-398.734
N1PG81,8,M,209,2,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1476,-397.108
N1PG81,8,M,210,3,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1476,-397.572
N1PG81,8,M,211,4,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1477,-398.966
N1PG81,8,M,212,5,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-397.96
N1PG81,8,M,213,6,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-399.044
N1PG81,8,M,214,7,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1480,-399.354
N1PG81,8,M,216,9,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1476,-397.262
N1PG81,8,M,217,10,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-398.192
N1PG81,8,M,218,11,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1482,-399.586
N1PG81,8,M,219,12,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1479,-398.657
N1PG81,8,M,220,13,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1482,-396.875
N1PG81,8,M,221,14,45,1,1,Pass,1,Good,Pass,1,Good,Pass,275,1481,-396.953
